# Generated from FirepadCN/pocket_dict_5000 (MIT), derived from ECDICT (MIT).
# word<TAB>concise Simplified Chinese meaning
a	第一个字母A
knock	敲
knocked	敲
knocking	敲
knocks	敲
knot	结
knots	结
knotted	结
knotting	结
know	知道
knowing	知道
knowledge	知识
knowledges	知识
known	知道
knows	知道
lab	实验室
label	标签
labeled	标签
labelled	标签
labelling	标签
labels	标签
labor	劳动
laboratories	实验室
laboratory	实验室
labored	劳动
laboring	劳动
labors	劳动
labour	劳动
laboured	劳动
labourer	劳动者
labourers	劳动者
labouring	劳动
labours	劳动
labs	实验室
lack	缺乏
lacked	缺乏
lacking	缺乏的
lackings	缺乏的
lacks	缺乏
lad	青年
ladder	梯
laddered	梯
laddering	梯
ladders	梯
laden	负荷
ladies	淑女
lads	青年
lady	淑女
laid	放置
lain	谎言
lake	湖
lakes	湖
lamb	小羊
lambed	小羊
lambing	小羊
lambs	小羊
lame	跛足的
lamed	跛足的
lamer	跛足的
lames	跛足的
lamest	跛足的
laming	跛足的
lamp	灯
lamps	灯
land	陆地
landed	陆地
landing	陆地
landlord	房东
landlords	房东
lands	陆地
landscape	风景
landscaped	风景
landscapes	风景
landscaping	风景
lane	小路
lanes	小路
language	语言
languages	语言
lantern	灯笼
lanterns	灯笼
lap	膝盖
lapped	膝盖
lapping	膝盖
laps	膝盖
large	大的
largely	大量地
larger	大的
largest	大的
laser	激光
lasered	激光
lasering	激光
lasers	激光
last	最后的
lasted	最后的
lasting	最后的
lasts	最后的
late	迟的
latelier	近来
lately	近来
later	以后
latest	最近的
latin	拉丁人
latins	拉丁人
latter	后者的
laugh	笑
laughed	笑
laughing	笑
laughs	笑
laughter	笑
launch	下水
launched	下水
launches	下水
launching	下水
laundries	洗衣店
laundry	洗衣店
lavatories	洗脸盆
lavatory	洗脸盆
law	法律
laws	法律
lawsuit	诉讼
lawsuits	诉讼
lawyer	律师
lawyers	律师
lay	放置
layer	层
layered	层
layering	层
layers	层
laying	放置
lays	放置
lazier	懒惰的
laziest	懒惰的
lazy	懒惰的
lead	铅
leader	领导者
leaders	领导者
leadership	领导能力
leaderships	领导能力
leading	领导
leads	铅
leaf	叶
leafed	叶
leafing	叶
leafs	叶
league	同盟
leagued	同盟
leagues	同盟
leaguing	同盟
leak	漏洞
leaked	漏洞
leaking	漏洞
leaks	漏洞
lean	瘦肉
leaned	瘦肉
leaner	瘦肉
leaning	瘦肉
leans	瘦肉
leant	瘦肉
learn	学习
learned	有学问的
learning	学问
learns	学习
learnt	学习
least	最少
leather	皮革
leathered	皮革
leathering	皮革
leathers	皮革
leave	许可
leaves	许可
leaving	许可
lecture	演讲
lectured	演讲
lectures	演讲
lecturing	演讲
led	铅
lee	背风处
leeds	利兹市
lees	背风处
left	左边的
leftover	剩货
leftovers	剩货
leg	腿
legal	法律的
legally	法律上
legislation	立法
legislations	立法
legs	腿
lemon	柠檬
lemonade	柠檬水
lemonades	柠檬水
lemons	柠檬
lend	借
lending	借
lends	借
length	长度
lengths	长度
lent	借
less	较少
lesson	课
lessons	课
let	让
lets	让
letter	信
lettered	信
lettering	信
letters	信
letting	让
level	水平
levelled	水平
levelling	水平
levels	水平
lewis	吊楔
liabilities	责任
liability	责任
liberal	自由主义者
liberals	自由主义者
liberate	解放
liberated	解放
liberates	解放
liberating	解放
liberation	释放
liberties	自由
liberty	自由
libertys	自由
librarian	图书馆员
librarians	图书馆员
libraries	图书馆
library	图书馆
licence	执照
licenced	执照
licences	执照
licencing	执照
license	执照
licensed	执照
licenses	执照
licensing	执照
lid	盖子
lidded	盖子
lids	盖子
lie	谎言
lied	谎言
lies	谎言
life	生活
lifespan	预期生命期限
lifespans	预期生命期限
lifetime	一生
lifetimes	一生
lift	举起
lifted	举起
lifting	举起
lifts	举起
light	光
lighter	光
lightest	光
lighting	光
lightly	轻轻地
lightning	闪电
lightnings	闪电
lights	光
like	相似的
liked	相似的
likeliest	有可能的
likely	有可能的
likes	相似的
liking	相似的
limit	界限
limited	有限制的
limiting	界限
limits	界限
line	列
lined	列
lines	列
lining	列
link	环
linked	环
linking	环
links	环
lion	狮子
lions	狮子
lip	唇
lipped	唇
lips	唇
liquid	液体
liquids	液体
list	目录
listed	目录
listen	听
listened	听
listening	听
listens	听
listing	目录
lists	目录
lit	光
literally	逐字地
literary	文学的
literature	文学
literatures	文学
litre	升
litres	升
litter	垃圾
littered	垃圾
littering	垃圾
litters	垃圾
little	一点点
live	活的
lived	活的
livelier	活泼的
liveliest	活泼的
lively	活泼的
liverpool	利物浦
lives	生活
living	生活
livings	生活
load	负荷
loaded	负荷
loading	负荷
loads	负荷
loaf	一条面包
loafed	一条面包
loafing	一条面包
loafs	一条面包
loan	贷款
loaned	贷款
loaning	贷款
loans	贷款
loaves	一条面包
local	地方性的
locally	地方性地
locals	地方性的
locate	找出
located	处于
locates	找出
locating	找出
location	位置
locations	位置
lock	锁
locked	锁
locking	锁
locks	锁
locust	蝗虫
locusts	蝗虫
logic	逻辑
logical	合乎逻辑的
logicals	合乎逻辑的
logics	逻辑
london	伦敦
lonelier	孤单的
loneliest	孤单的
lonely	孤单的
long	长的
longed	长的
longer	比较久
longest	长的
longing	长的
longs	长的
look	一看
looked	一看
looking	一看
looks	一看
loose	发射
loosed	发射
loosely	松弛地
looses	发射
loosing	发射
lord	统治者
lorded	统治者
lording	统治者
lords	统治者
lorries	卡车
lorry	卡车
lose	遗失
loses	遗失
losing	遗失
loss	损失
losses	损失
lost	失去的
lot	运气
lots	大量
lotted	运气
lotting	运气
loud	大声的
louder	大声的
loudest	大声的
loudly	高声地
loudspeaker	扩音器
loudspeakered	扩音器
loudspeakering	扩音器
loudspeakers	扩音器
lounge	闲逛
lounged	闲逛
lounges	闲逛
lounging	闲逛
love	爱
loved	爱
lovelier	可爱的
lovelies	可爱的
loveliest	可爱的
lovely	可爱的
lover	爱人
lovers	爱人
loves	爱
loving	爱
low	低点
lowed	低点
lower	低的
lowered	低的
lowering	低的
lowers	低的
lowest	低点
lowing	低点
lows	低点
loyal	忠诚的
ltd	有限的
luck	运气
luckier	幸运的
luckiest	幸运的
lucky	幸运的
luggage	行李
luggaged	行李
luke	卢克
lump	块
lumped	块
lumping	块
lumps	块
lunch	午餐
lunched	午餐
lunches	午餐
lunching	午餐
lung	肺
lunging	肺
lungs	肺
lying	谎言
machine	机器
machined	机器
machineries	机器
machinery	机器
machines	机器
machining	机器
mad	疯狂的
madam	女士
madame	夫人
madames	夫人
madams	女士
madder	疯狂的
maddest	疯狂的
made	制造
mads	疯狂的
magazine	杂志
magazines	杂志
magic	魔术
magics	魔术
maid	少女
maids	少女
mail	邮件
mailbox	邮筒
mailboxes	邮筒
mailed	邮件
mailing	邮件
mails	邮件
main	主要部分
mainland	大陆
mainly	主要地
maintain	维持
maintained	维持
maintaining	维持
maintains	维持
maintenance	维护
major	主修课
majored	主修课
majoring	主修课
majorities	多数
majority	多数
majors	主修课
make	制造
maker	制造者
makers	制造者
makes	制造
making	制造
male	男人
males	男人
mall	林荫路
malling	林荫路
malls	林荫路
man	男人
manage	处理
managed	处理
management	经营
managements	经营
manager	经理
managers	经理
manages	处理
managing	处理
manchester	曼彻斯特
mankind	人类
manned	男人
manner	样子
manners	样子
manning	男人
mans	男人
manufacture	产品
manufactured	产品
manufacturer	制造业者
manufacturers	制造业者
manufactures	产品
manufacturing	制造业
many	多数
map	地图
maple	枫
maples	枫
mapped	地图
mapping	地图
maps	地图
marathon	马拉松
marathons	马拉松
marble	大理石
marbled	大理石
marbles	大理石
marbling	大理石
march	三月
marched	三月
marches	三月
marching	三月
margaret	玛格利特
mark	标志
marked	标志
market	市场
marketed	市场
marketing	行销
markets	市场
marking	标志
marks	标志
marriage	婚姻
marriages	婚姻
married	已婚的
marries	与...结婚
marry	与...结婚
marrying	与...结婚
martin	马丁
martins	马丁
mary	玛丽
mask	面具
masked	面具
masking	面具
masks	面具
mass	块
massed	块
masses	块
massing	块
massive	大而重的
master	主人
mastered	主人
mastering	主人
masters	主人
mat	垫
match	比赛
matched	比赛
matches	比赛
matching	相同的
matchings	相同的
mate	配偶
mated	配偶
material	材料
materials	材料
mates	配偶
math	数学
mathematics	数学
mating	配偶
mats	垫
matted	垫
matter	事件
mattered	事件
matters	事件
matting	垫
mature	成熟的
matured	成熟的
maturer	成熟的
matures	成熟的
maturing	成熟的
maxima	极点
maximum	极点
maximums	极点
may	五月
maybe	也许
mayor	市长
mayors	市长
me	我
meal	一餐
meals	一餐
mean	低劣的
meaning	意义
meanings	意义
means	方法
meant	低劣的
meanwhile	其时
measure	尺寸
measured	尺寸
measurement	尺寸
measurements	尺寸
measures	尺寸
measuring	尺寸
meat	肉
meats	肉
mechanism	机械
mechanisms	机械
medal	奖牌
medals	奖牌
media	媒体
medical	医生
medicals	医生
medicine	药
medicines	药
medium	媒体
mediums	媒体
meet	会
meeting	会议
meetings	会议
meets	会
melon	瓜
melons	瓜
melt	熔化
melted	熔化
melting	熔化
melts	熔化
member	成员
members	成员
membership	会员的资格
memberships	会员的资格
memorial	纪念物
memorials	纪念物
memories	记忆
memorize	记住
memorized	记住
memorizes	记住
memorizing	记住
memory	记忆
men	男人
mend	改进
mended	改进
mending	改进
mends	改进
mental	心智的
mentally	心理上
mention	提到
mentioned	提到
mentioning	提到
mentions	提到
menu	菜单
menus	菜单
merchant	商人
merchanting	商人
merchants	商人
mercies	仁慈
merciful	仁慈的
mercy	仁慈
mere	小湖
merely	只
meres	小湖
merest	小湖
merrier	快乐的
merriest	快乐的
merry	快乐的
mes	我
mess	食堂
message	消息
messaged	消息
messages	消息
messaging	消息
messed	食堂
messes	食堂
messier	散乱的
messing	食堂
messy	散乱的
met	会
metal	金属
metaled	金属
metaling	金属
metals	金属
method	方法
methods	方法
metre	公尺
metres	公尺
mexican	墨西哥人
mexicans	墨西哥人
mexico	墨西哥
mg	微粒剂
mgs	微粒剂
mice	老鼠
michael	迈克尔
microcomputer	微电脑
microcomputers	微电脑
microscope	显微镜
microscopes	显微镜
microscoping	显微镜
microwave	微波
microwaved	微波
microwaves	微波
microwaving	微波
midday	正午
middle	中央
middled	中央
middles	中央
middling	中央
midnight	午夜
midnights	午夜
might	力量
mike	偷懒
mikes	偷懒
mild	温和的
milder	温和的
mildest	温和的
milds	温和的
mile	英里
miles	英里
military	军队
milk	奶
milked	奶
milking	奶
milks	奶
mill	压榨机
milled	压榨机
milligram	毫克
milligrams	毫克
millimetre	毫米
millimetres	毫米
milling	压榨机
million	百万
millionaire	百万富翁
millionaires	百万富翁
mills	压榨机
mind	思想
minded	思想
minding	思想
minds	思想
mine	矿
mined	矿
mineral	矿物
minerals	矿物
mines	矿
minibus	中客车
minima	最小的
minimum	最小的
mining	矿
miniskirt	超短裙
miniskirts	超短裙
minister	部长
ministered	部长
ministering	部长
ministers	部长
ministries	部
ministry	部
minor	未成年人
minorities	少数
minority	少数
minors	未成年人
minus	负号
minuses	负号
minute	分
minutes	分
mirror	镜子
mirrored	镜子
mirroring	镜子
mirrors	镜子
miss	失误
missed	失误
misses	失误
missile	发射物
missiles	发射物
missing	不见的
mission	任务
missions	任务
mist	雾
mistake	错误
mistaken	犯错的
mistakes	错误
mistaking	错误
misted	雾
misting	雾
mistook	错误
mists	雾
misunderstand	误解
misunderstanding	误解
misunderstands	误解
misunderstood	误解
mix	混合物
mixed	混合的
mixes	混合物
mixing	混合物
mixture	混合
mixtures	混合
mm	毫米
mobile	移动的
mobiles	移动的
mode	模态
model	模型
modelled	模型
modelling	模型
models	模型
modem	调制解调器
modems	调制解调器
modern	现代人
moderns	现代人
modes	模态
modest	谦逊的
module	组件
modules	组件
molten	熔化
mom	妈妈
moment	片刻
moments	片刻
moms	妈妈
monday	星期一
mondays	星期一
money	金钱
moneys	金钱
monitor	监督器
monitored	监督器
monitoring	监督器
monitors	监督器
monkey	猴子
monkeyed	猴子
monkeying	猴子
monkeys	猴子
month	月
months	月
monument	纪念碑
monuments	纪念碑
mood	心情
moods	心情
moon	月亮
mooned	月亮
mooning	月亮
moons	月亮
mop	拖把
mopped	拖把
mopping	拖把
mops	拖把
moral	道德
morally	道德上
morals	道德
more	更多
moreover	而且
morning	早晨
mornings	早晨
mortgage	抵押
mortgaged	抵押
mortgages	抵押
mortgaging	抵押
moscow	莫斯科
moslem	穆斯林
moslems	穆斯林
mosquito	蚊子
mosquitos	蚊子
most	最多
mostly	大概
mother	母亲
mothered	母亲
mothering	母亲
motherland	祖国
motherlands	祖国
mothers	母亲
motion	移动
motioned	移动
motioning	移动
motions	移动
motivation	动机
motivations	动机
motor	马达
motorbike	机动脚踏两用车
motorbikes	机动脚踏两用车
motorbiking	机动脚踏两用车
motorcycle	摩托车
motorcycled	摩托车
motorcycles	摩托车
motorcycling	摩托车
motored	马达
motoring	马达
motors	马达
motto	箴言
mottos	箴言
mount	乘骑用马
mountain	山
mountainous	多山的
mountains	山
mounted	乘骑用马
mounting	乘骑用马
mounts	乘骑用马
mourn	哀悼
mourned	哀悼
mourning	哀悼
mourns	哀悼
mouse	老鼠
moused	老鼠
mouses	老鼠
mousing	老鼠
moustache	髭
moustaches	髭
mouth	嘴
mouthed	嘴
mouthful	一口
mouthfuls	一口
mouthing	嘴
mouths	嘴
move	移动
moved	移动
movement	运动
movements	运动
moves	移动
movie	电影
movies	电影
moving	动人的
mp	国会议员
mps	国会议员
mr	先生
mrs	太太
ms	美国微软公司
much	大量
mud	泥
mudded	泥
muddied	泥泞的
muddier	泥泞的
muddies	泥泞的
muddiest	泥泞的
mudding	泥
muddy	泥泞的
muddying	泥泞的
muds	泥
multiple	倍数
multiples	倍数
multiplied	繁殖
multiplies	繁殖
multiply	繁殖
multiplying	繁殖
mum	菊花
mums	菊花
murder	谋杀
murdered	谋杀
murdering	谋杀
murders	谋杀
muscle	肌肉
muscled	肌肉
muscles	肌肉
muscling	肌肉
museum	博物馆
museums	博物馆
mushroom	蘑菇形物
mushroomed	蘑菇形物
mushrooming	蘑菇形物
mushrooms	蘑菇形物
music	音乐
musical	音乐片
musicals	音乐片
musician	音乐家
musicians	音乐家
musics	音乐
muslim	伊斯兰教
muslims	伊斯兰教
must	必须
mustard	芥末
mustarded	芥末
mustards	芥末
mutton	羊肉
muttons	羊肉
my	我的
myself	我自己
mysteries	秘密
mysterious	神秘的
mystery	秘密
nail	钉子
nailed	钉子
nailing	钉子
nails	钉子
naked	裸体的
name	名字
named	名字
names	名字
naming	名字
narrow	狭窄部分
narrowed	狭窄部分
narrower	狭窄部分
narrowest	狭窄部分
narrowing	狭窄部分
narrows	狭窄部分
nation	国家
national	国家的
nationalities	国籍
nationality	国籍
nationals	国家的
nations	国家
nationwide	全国性的
native	本地人
natives	本地人
natural	白痴
naturally	自然地
nature	自然
natures	自然
navies	海军
navy	海军
near	近的
nearby	附近的
neared	近的
nearer	近的
nearest	近的
nearing	近的
nearly	几乎
nears	近的
neat	整洁的
neater	整洁的
neatest	整洁的
neatly	整洁地
necessaries	必要的
necessarily	必然地
necessary	必要的
neck	脖子
necked	脖子
necking	脖子
necklace	项链
necklaced	项链
necklaces	项链
necklacing	项链
necks	脖子
necktie	领带
need	需要
needed	需要
needing	需要
needle	针
needled	针
needles	针
needling	针
needs	需要
negative	否定
negatived	否定
negatives	否定
negativing	否定
negotiate	商议
negotiated	商议
negotiates	商议
negotiating	商议
negotiation	谈判
negotiations	谈判
neighbor	邻居
neighbored	邻居
neighborhood	附近
neighborhoods	附近
neighboring	邻居
neighbors	邻居
neighbour	邻居
neighboured	邻居
neighbourhood	邻接
neighbourhoods	邻接
neighbouring	邻居
neighbours	邻居
neither	皆不
nephew	侄子
nephews	侄子
nerve	精神
nerved	精神
nerves	精神
nerving	精神
nervous	神经紧张的
nervously	焦急地
nest	巢
nested	巢
nesting	巢
nests	巢
net	网
nets	网
netted	网
netting	网
network	网络
networked	网络
networking	网络
networks	网络
never	从不
nevertheless	然而
new	新的
newer	新的
newest	新的
newly	重新
news	新闻
newspaper	报纸
newspapers	报纸
next	下一个
nice	美好的
nicely	漂亮地
nicer	美好的
nicest	美好的
niece	侄女
nieces	侄女
nigel	奈杰尔
night	夜
nights	夜
nine	九
nineteen	十九
nineteenth	第十九
ninety	九十
ninth	第九
no	不
noble	贵族
nobles	贵族
nobodies	小人物
nobody	小人物
nod	点头
nodded	点头
nodding	点头
nods	点头
noise	噪音
noised	噪音
noises	噪音
noisier	嘈杂的
noisiest	嘈杂的
noisily	吵闹地
noising	噪音
noisy	嘈杂的
none	一点也不
nonsense	无意义的事
nonsenses	无意义的事
noodle	面条
noodled	面条
noodles	面条
noodling	面条
noon	正午
noons	正午
nor	也不
normal	常态
normally	正规地
normals	常态
north	北方
northeast	东北
northern	北方人
northwards	向北方
northwest	西北
nose	鼻子
nosed	鼻子
noses	鼻子
nosing	鼻子
not	不
note	笔记
notebook	笔记本
notebooks	笔记本
noted	笔记
notes	笔记
nothing	无
notice	注意
noticeable	显而易见的
noticed	注意
notices	注意
noticing	注意
noting	笔记
notion	概念
notions	概念
nov	abbr.十一月
novel	小说
novelist	小说家
novelists	小说家
novels	小说
november	十一月
now	现在
nowadays	现在
nowhere	无处
nuclear	核子的
numb	麻木的
numbed	麻木的
number	数
numbered	数
numbering	数
numbers	数
numbing	麻木的
numbs	数
numerous	很多的
nurse	护士
nursed	护士
nurseries	托儿所
nursery	托儿所
nurses	护士
nursing	看护
nut	坚果
nutrition	营养
nuts	坚果
nutted	坚果
nutting	坚果
nylon	尼龙
nylons	尼龙
obey	服从
obeyed	服从
obeying	服从
obeys	服从
object	物体
objected	物体
objecting	物体
objective	目的
objectives	目的
objects	物体
obligation	义务
obligations	义务
observation	观察
observations	观察
observe	觉察到
observed	觉察到
observer	观察者
observers	观察者
observes	觉察到
observing	觉察到
obtain	获得
obtained	获得
obtaining	获得
obtains	获得
obvious	明显的
obviously	显而易见地
occasion	场合
occasionally	有时候
occasioned	场合
occasioning	场合
occasions	场合
occupation	职业
occupations	职业
occupied	已占用的
occupies	占领
occupy	占领
occupying	占领
occur	发生
occurred	发生
occurring	发生
occurs	发生
ocean	海洋
oceania	大洋洲
oceans	海洋
oct	abbr.十月
october	十月
odd	奇数的
oddly	奇怪地
of	的
off	关着的
offed	关着的
offence	犯罪
offences	犯罪
offend	犯罪
offended	犯罪
offending	犯罪
offends	犯罪
offensive	令人不快的
offensives	令人不快的
offer	给予
offered	给予
offering	给予
offers	给予
office	办公室
officer	军官
officered	军官
officering	军官
officers	军官
offices	办公室
official	官员
officially	作为公务员
officials	官员
offing	关着的
offs	关着的
offshore	海面的
often	时常
oil	油
oiled	油
oilfield	油田
oilfields	油田
oiling	油
oils	油
ok	好
okay	好
okayed	好
okaying	好
okays	好
old	以前
older	以前
oldest	以前
olds	以前
olympic	奥林匹亚的
olympics	奥林匹亚的
omelette	煎蛋卷
omelettes	煎蛋卷
on	在...之上
once	一次
one	一
ones	一
oneself	自己
onion	洋葱
onions	洋葱
online	联机
only	唯一的
onto	在...之上
ontos	在...之上
open	公开
opened	公开
opener	开...的人
openers	开...的人
opening	开始
openings	开始
openly	公开地
opens	公开
opera	歌剧
operas	歌剧
operate	操作
operated	操作
operates	操作
operating	操作的
operation	操作
operations	操作
operator	操作员
operators	操作员
opinion	意见
opinions	意见
opponent	对手
opponents	对手
opportunities	机会
opportunity	机会
oppose	反对
opposed	反对
opposes	反对
opposing	对面的
opposite	相对的
opposites	相对的
opposition	反对
oppositions	反对
optimistic	乐观的
option	选择权
optional	可选择的
options	选择权
or	或
oral	口试
orals	口试
orange	柑橘
oranges	柑橘
orbit	轨道
orbited	轨道
orbiting	轨道
orbits	轨道
order	次序
ordered	次序
ordering	次序
orders	次序
ordinaries	平常的
ordinary	平常的
organ	风琴
organisation	组织
organisations	组织
organise	组织
organised	组织
organiser	组织者
organisers	组织者
organises	组织
organising	组织
organization	组织
organizations	组织
organize	组织
organized	有组织的
organizes	组织
organizing	组织
organs	风琴
origin	起源
original	最初的
originally	本来
originals	最初的
origins	起源
other	其他的
others	其他人
otherwise	否则
ottawa	渥太华
ouch	哎唷
ouches	哎唷
ought	应该
our	我们的
ours	我们的
ourselves	我们自己
out	外面的
outcome	结果
outcomes	结果
outdoor	户外的
outdoors	户外
outed	外面的
outer	外部的
outers	外部的
outgoing	外出
outgoings	外出
outing	郊游
outings	郊游
outline	大纲
outlined	大纲
outlines	大纲
outlining	大纲
output	输出
outputs	输出
outputting	输出
outs	外面的
outside	外面
outspoken	直言无讳的
outstanding	杰出的
outward	向外的
oval	椭圆形
ovals	椭圆形
oven	烤箱
ovens	烤箱
over	结束
overall	全部的
overalls	全部的
overcame	战胜
overcoat	外套大衣
overcoated	外套大衣
overcoats	外套大衣
overcome	战胜
overcomes	战胜
overcoming	战胜
overhead	经常开支
overheads	经常开支
overlook	俯瞰
overlooked	俯瞰
overlooking	俯瞰
overlooks	俯瞰
overs	结束
overweight	超过重量
overweighted	超过重量
overweights	超过重量
owe	亏欠
owed	亏欠
owes	亏欠
owing	亏欠
own	自己的
owned	自己的
owner	拥有者
owners	拥有者
ownership	所有权
ownerships	所有权
owning	自己的
owns	自己的
ox	牛
oxen	牛
oxer	牛
oxes	牛
oxford	牛津
oxygen	氧
oxygens	氧
p	便士
pace	速度
paced	速度
paces	速度
pacific	太平洋
pacing	速度
pack	包裹
package	包裹
packaged	包裹
packages	包裹
packaging	包装
packed	包裹
packet	小包
packets	小包
packing	包裹
packs	包裹
paddle	桨
paddled	桨
paddles	桨
paddling	桨
page	页
paged	页
pages	页
paging	页
paid	薪资
pain	痛苦
pained	痛苦
painful	痛苦的
paining	痛苦
pains	痛苦
paint	油漆
painted	油漆
painter	画家
painters	画家
painting	画
paintings	画
paints	油漆
pair	一双
paired	一双
pairing	一双
pairs	一双
palace	宫
palaces	宫
pale	栅栏
paled	栅栏
paler	栅栏
pales	栅栏
palest	栅栏
palestinian	巴勒斯坦的
palestinians	巴勒斯坦的
paling	栅栏
pan	平锅
pancake	薄烤饼
pancaked	薄烤饼
pancakes	薄烤饼
panda	大熊猫
pandas	大熊猫
panel	嵌板
panelled	嵌板
panelling	嵌板
panels	嵌板
panic	恐慌
panicked	恐慌
panicking	恐慌
panics	恐慌
panned	平锅
panning	平锅
pans	平锅
pants	裤子
paper	纸
papered	纸
papering	纸
papers	纸
paperwork	文书工作
paperworks	文书工作
paragraph	段落
paragraphed	段落
paragraphing	段落
paragraphs	段落
parallel	平行
paralleling	平行
parallelled	平行
parallelling	平行
parallels	平行
parcel	包裹
parcelled	包裹
parcelling	包裹
parcels	包裹
pardon	原谅
pardoned	原谅
pardoning	原谅
pardons	原谅
parent	父母
parents	父母
paris	巴黎
parish	教区
parishes	教区
park	公园
parked	公园
parking	停车
parks	公园
parliament	国会
parliamentary	国会的
parliaments	国会
parrot	鹦鹉
parroted	鹦鹉
parroting	鹦鹉
parrots	鹦鹉
part	部分
parted	部分
participant	参加者
participants	参加者
participate	参加
participated	参加
participates	参加
participating	参加
participation	参与
participations	参与
particular	一项
particularly	特别
partied	宴会
parties	宴会
parting	部分
partly	部分地
partner	合伙人
partnered	合伙人
partnering	合伙人
partners	合伙人
partnership	合伙
partnerships	合伙
parts	部分
party	宴会
partying	宴会
pass	经过
passage	通道
passages	通道
passed	经过
passenger	乘客
passengers	乘客
passes	经过
passing	通过
passion	激情
passions	激情
passive	消极的
passives	消极的
passport	护照
passports	护照
past	过去
patent	专利权
patented	专利权
patenting	专利权
patents	专利权
path	路径
paths	路径
patience	耐性
patient	病人
patients	病人
pattern	模范
patterned	模范
patterning	模范
patterns	模范
paul	保罗
pause	暂停
paused	暂停
pauses	暂停
pausing	暂停
pay	薪资
paying	薪资
payment	付款
payments	付款
pays	薪资
pc	个人计算机
pcs	个人计算机
pea	豌豆
peace	和平
peaceful	平静的
peach	桃子
peached	桃子
peaches	桃子
peaching	桃子
peak	山峰
peaked	山峰
peaking	山峰
peaks	山峰
pear	梨子
pears	梨子
peas	豌豆
peasant	农夫
peasants	农夫
pedestrian	行人
pedestrians	行人
peer	同等的人
peered	同等的人
peering	同等的人
peers	同等的人
pen	钢笔
penalties	处罚
penalty	处罚
pencil	铅笔
pencilled	铅笔
pencilling	铅笔
pencils	铅笔
penned	钢笔
pennies	便士
penning	钢笔
penny	便士
pens	钢笔
pension	养老金
pensioned	养老金
pensioning	养老金
pensions	养老金
pent	钢笔
people	人
peopled	人
peoples	人
peopling	人
pepper	胡椒粉
peppered	胡椒粉
peppering	胡椒粉
peppers	胡椒粉
per	每一
perceive	感觉
perceived	感觉
perceives	感觉
perceiving	感觉
percent	百分比
percentage	百分比
percentages	百分比
perception	知觉
perceptions	知觉
perfect	完成时
perfected	完成时
perfecting	完成时
perfectly	完全地
perfects	完成时
perform	进行
performance	施行
performances	施行
performed	进行
performer	表演者
performers	表演者
performing	进行
performs	进行
perfume	香水
perfumed	香水
perfumes	香水
perfuming	香水
perhaps	也许
period	时期
periods	时期
permanent	永久的
permanently	永久
permission	许可
permissions	许可
permit	许可证
permits	许可证
permitted	许可证
permitting	许可证
pers	每一
person	人
personal	私人的
personalities	个性
personality	个性
personally	亲自地
personnel	人员
persons	人
perspective	远景
perspectives	远景
persuade	劝
persuaded	劝
persuades	劝
persuading	劝
pest	令人讨厌之物
pests	令人讨厌之物
pet	宠物
peter	逐渐消失
petered	逐渐消失
peters	逐渐消失
petrol	汽油
petrols	汽油
pets	宠物
petted	宠物
petting	宠物
phase	时期
phased	时期
phases	时期
phasing	时期
phenomena	现象
phenomenon	现象
philip	菲利普
philosophies	哲学
philosophy	哲学
phone	电话
phoned	电话
phones	电话
phoning	电话
photo	相片
photocopied	影印
photocopies	影印
photocopy	影印
photocopying	影印
photograph	相片
photographed	相片
photographer	摄影师
photographers	摄影师
photographing	相片
photographs	相片
photography	摄影
photos	相片
phrase	惯用语
phrased	惯用语
phrases	惯用语
phrasing	惯用语
physical	身体的
physically	按自然规律
physician	医师
physicians	医师
physicist	物理学家
physicists	物理学家
physics	物理学
pianist	钢琴家
pianists	钢琴家
piano	钢琴
pianos	钢琴
pick	精选
picked	精选
picking	精选
picks	精选
picnic	野餐
picnicked	野餐
picnicking	野餐
picnics	野餐
picture	图画
pictured	图画
pictures	图画
picturing	图画
pie	馅饼
piece	块
pieced	块
pieces	块
piecing	块
pies	馅饼
pig	猪
pigged	猪
pigging	猪
pigs	猪
pile	堆
piled	堆
piles	堆
piling	堆
pill	药丸
pillow	枕头
pillowed	枕头
pillowing	枕头
pillows	枕头
pills	药丸
pilot	飞行员
piloted	飞行员
piloting	飞行员
pilots	飞行员
pin	大头针
pine	松树
pineapple	凤梨
pineapples	凤梨
pined	松树
pines	松树
pining	松树
pink	粉红色
pinked	粉红色
pinker	粉红色
pinking	粉红色
pinks	粉红色
pinned	大头针
pinning	大头针
pins	大头针
pint	品脱
pints	品脱
pioneer	先锋
pioneered	先锋
pioneering	先锋
pioneers	先锋
pipe	管
piped	管
pipes	管
piping	管
pitch	程度
pitched	程度
pitches	程度
pitching	程度
pitied	遗憾
pities	遗憾
pity	遗憾
pitying	遗憾
place	地方
placed	地方
places	地方
placing	地方
plain	平原
plained	平原
plainer	平原
plainest	平原
plaining	平原
plains	平原
plaintiff	原告
plaintiffs	原告
plan	计划
plane	平面
planed	平面
planes	平面
planet	行星
planets	行星
planing	平面
planned	计划
planning	计划的制订
plans	计划
plant	植物
planted	植物
planting	植物
plants	植物
plastic	塑料
plastics	塑料
plate	碟
plated	碟
plates	碟
platform	站台
platforms	站台
plating	碟
play	游戏
played	游戏
player	竞赛者
players	竞赛者
playground	运动场
playgrounds	运动场
playing	游戏
playmate	玩伴
playmates	玩伴
playroom	游戏室
playrooms	游戏室
plays	游戏
pleasant	愉快的
pleasanter	愉快的
pleasantest	愉快的
